"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
1642893,"Staff Applied Research Engineer","Hyderabad, Telangana, India","Full-time","177283.0","2023-06-28","ServiceNow"
1041666,"Data Architect - Data Migration","Bengaluru, Karnataka, India","Full-time","165000.0","2023-05-06","Bosch Group"
954793,"Data Architect 2023","Bengaluru, Karnataka, India","Full-time","165000.0","2023-01-12","Bosch Group"
283661,"Technical Data Architect - Healthcare","Gurugram, Haryana, India","Full-time","165000.0","2023-05-10","Srijan Technologies"
406320,"Data Architect","Hyderabad, Telangana, India","Full-time","163782.0","2023-02-07","Eagle Genomics Ltd"
781346,"Data Architect","Hyderabad, Telangana, India","Full-time","163782.0","2023-07-06","Eagle Genomics Ltd"
325402,"Senior Business & Data Analyst","India","Full-time","119250.0","2023-11-21","Deutsche Bank"
908967,"Sr. Enterprise Data Analyst","India","Full-time","118140.0","2023-12-21","ACA Group"
1578311,"Data Analyst - Food Growth","Bengaluru, Karnataka, India","Full-time","111175.0","2023-07-21","GoTo Group"
895116,"Data Analyst 2","Bengaluru, Karnataka, India","Full-time","111175.0","2023-03-29","Publicis Groupe"
